center,rel_exon5p,in_exon,inclusion,delta
31773910,282,False,0.8613281,-0.0078125
31773914,278,False,0.8574219,-0.01171875
31773918,274,False,0.8535156,-0.015625
31773922,270,False,0.84765625,-0.021484375
31773926,266,False,0.83984375,-0.029296875
31773930,262,False,0.8535156,-0.015625
31773934,258,False,0.859375,-0.009765625
31773938,254,False,0.8652344,-0.00390625
31773942,250,False,0.8671875,-0.001953125
31773946,246,False,0.85546875,-0.013671875
31773950,242,False,0.31647205,-0.5526686
31773954,238,False,0.2897911,-0.5793495
31773958,234,False,0.28347015,-0.5856705
31773962,230,True,0.24034977,-0.62879086
31773966,226,True,0.39501953,-0.4741211
31773970,222,True,0.52441406,-0.34472656
31773974,218,True,0.7988281,-0.0703125
31773978,214,True,0.7128906,-0.15625
31773982,210,True,0.7753906,-0.09375
31773986,206,True,0.8105469,-0.05859375
31773990,202,True,0.8496094,-0.01953125
31773994,198,True,0.8730469,0.00390625
31773998,194,True,0.8535156,-0.015625
31774002,190,True,0.875,0.005859375
31774006,186,True,0.8691406,0.0
31774010,182,True,0.87890625,0.009765625
31774014,178,True,0.8808594,0.01171875
31774018,174,True,0.8808594,0.01171875
31774022,170,True,0.86328125,-0.005859375
31774026,166,True,0.8808594,0.01171875
31774030,162,True,0.8828125,0.013671875
31774034,158,True,0.8808594,0.01171875
31774038,154,True,0.8652344,-0.00390625
31774042,150,True,0.859375,-0.009765625
31774046,146,True,0.8378906,-0.03125
31774050,142,True,0.8300781,-0.0390625
31774054,138,True,0.8125,-0.056640625
31774058,134,True,0.8515625,-0.017578125
31774062,130,True,0.8417969,-0.02734375
31774066,126,True,0.8535156,-0.015625
31774070,122,True,0.84765625,-0.021484375
31774074,118,True,0.828125,-0.041015625
31774078,114,True,0.8574219,-0.01171875
31774082,110,True,0.8496094,-0.01953125
31774086,106,True,0.8671875,-0.001953125
31774090,102,True,0.8671875,-0.001953125
31774094,98,True,0.8769531,0.0078125
31774098,94,True,0.8769531,0.0078125
31774102,90,True,0.8769531,0.0078125
31774106,86,True,0.8808594,0.01171875
31774110,82,True,0.8691406,0.0
31774114,78,True,0.8671875,-0.001953125
31774118,74,True,0.8691406,0.0
31774122,70,True,0.8671875,-0.001953125
31774126,66,True,0.86328125,-0.005859375
31774130,62,True,0.859375,-0.009765625
31774134,58,True,0.84765625,-0.021484375
31774138,54,True,0.8515625,-0.017578125
31774142,50,True,0.87109375,0.001953125
31774146,46,True,0.87890625,0.009765625
31774150,42,True,0.8769531,0.0078125
31774154,38,True,0.8769531,0.0078125
31774158,34,True,0.8730469,0.00390625
31774162,30,True,0.8691406,0.0
31774166,26,True,0.8730469,0.00390625
31774170,22,True,0.875,0.005859375
31774174,18,True,0.87109375,0.001953125
31774178,14,True,0.8652344,-0.00390625
31774182,10,True,0.828125,-0.041015625
31774186,6,True,0.43576908,-0.43337154
31774190,2,True,0.43776703,-0.4313736
31774194,-2,False,0.43757915,-0.43156147
31774198,-6,False,0.431715,-0.4374256
31774202,-10,False,0.42983532,-0.4393053
31774206,-14,False,0.8574219,-0.01171875
31774210,-18,False,0.8613281,-0.0078125
31774214,-22,False,0.8574219,-0.01171875
31774218,-26,False,0.8496094,-0.01953125
31774222,-30,False,0.84765625,-0.021484375
31774226,-34,False,0.7890625,-0.080078125
31774230,-38,False,0.72265625,-0.14648438
31774234,-42,False,0.24853516,-0.62060547
31774238,-46,False,0.21777344,-0.6513672
