center,in_exon,psi,delta
31773910,False,0.9926186,5.8710575e-05
31773914,False,0.9908555,-0.0017043948
31773918,False,0.9906741,-0.0018858314
31773922,False,0.9898433,-0.002716601
31773926,False,0.9879416,-0.004618287
31773930,False,0.9890199,-0.003540039
31773934,False,0.98901075,-0.0035491586
31773938,False,0.99165726,-0.00090265274
31773942,False,0.99173963,-0.0008202791
31773946,False,0.9893021,-0.003257811
31773950,False,0.6304798,-0.3620801
31773954,False,0.495154,-0.49740592
31773958,False,0.49643207,-0.49612784
31773962,True,0.3730777,-0.6194822
31773966,True,0.63317597,-0.35938394
31773970,True,0.64095974,-0.35160017
31773974,True,0.95376855,-0.03879136
31773978,True,0.8598084,-0.13275152
31773982,True,0.92721605,-0.06534386
31773986,True,0.9771582,-0.015401721
31773990,True,0.99280685,0.00024694204
31773994,True,0.99476784,0.0022079349
31773998,True,0.98998165,-0.0025782585
31774002,True,0.99443233,0.0018724203
31774006,True,0.9941727,0.0016127825
31774010,True,0.9949857,0.0024257898
31774014,True,0.99532485,0.0027649403
31774018,True,0.99464804,0.0020881295
31774022,True,0.9932938,0.000733912
31774026,True,0.9945516,0.0019916892
31774030,True,0.9955776,0.003017664
31774034,True,0.9950211,0.002461195
31774038,True,0.99164575,-0.00091415644
31774042,True,0.9907724,-0.0017874837
31774046,True,0.97464997,-0.017909944
31774050,True,0.9612483,-0.03131163
31774054,True,0.9616887,-0.030871212
31774058,True,0.9801067,-0.012453198
31774062,True,0.9835475,-0.009012401
31774066,True,0.9820693,-0.010490596
31774070,True,0.9862622,-0.0062977076
31774074,True,0.9822457,-0.010314226
31774078,True,0.98946005,-0.0030998588
31774082,True,0.9824516,-0.010108292
31774086,True,0.98870546,-0.0038544536
31774090,True,0.99069107,-0.001868844
31774094,True,0.99261045,5.054474e-05
31774098,True,0.9933829,0.00082296133
31774102,True,0.99232775,-0.00023216009
31774106,True,0.99364245,0.0010825396
31774110,True,0.9922973,-0.00026261806
31774114,True,0.9918604,-0.0006995201
31774118,True,0.9932232,0.0006632805
31774122,True,0.98972464,-0.0028352737
31774126,True,0.9905828,-0.001977086
31774130,True,0.98719513,-0.0053647757
31774134,True,0.9865184,-0.006041527
31774138,True,0.99182844,-0.0007314682
31774142,True,0.99300796,0.00044804811
31774146,True,0.99379027,0.0012303591
31774150,True,0.99297,0.00041007996
31774154,True,0.993911,0.0013511181
31774158,True,0.99291986,0.00035995245
31774162,True,0.99236095,-0.0001989603
31774166,True,0.9929585,0.00039857626
31774170,True,0.9938193,0.0012593865
31774174,True,0.9933061,0.00074619055
31774178,True,0.9943479,0.0017879605
31774182,True,0.994402,0.0018420815
31774186,True,0.98875856,-0.0038013458
31774190,True,0.9889014,-0.003658533
31774194,False,0.98887616,-0.0036837459
31774198,False,0.9853769,-0.0071830153
31774202,False,0.9748895,-0.017670393
31774206,False,0.98990613,-0.0026537776
31774210,False,0.9897922,-0.002767682
31774214,False,0.9852035,-0.0073564053
31774218,False,0.9876097,-0.0049502254
31774222,False,0.9823341,-0.010225832
31774226,False,0.8308037,-0.16175622
31774230,False,0.69048023,-0.30207968
31774234,False,0.24992312,-0.7426368
31774238,False,0.21123688,-0.781323
