name,rel_TSS,activation,strand,CAGE,PROCAP,DNASE,ATAC
RAG7-133,-185,3.65,+,0.022000359371304512,3.1582958698272705,0.6073834300041199,0.8629888892173767
RAG7-162,-214,2.98,+,0.015044362284243107,0.19408480823040009,3.34354829788208,1.098907709121704
RAG7-694,-746,2.7,+,0.007706495467573404,0.014131943695247173,0.09446761012077332,0.489743173122406
RAG7-892,-944,2.7,+,0.0021250233985483646,0.0018463879823684692,0.13020390272140503,0.380368173122406
RAG7-177,-229,2.48,+,0.007349553983658552,0.45202794671058655,3.34354829788208,1.098907709121704
RAG7-132,-184,2.35,+,0.022000359371304512,3.1582958698272705,0.6073834300041199,0.8629888892173767
RAG7-139,-191,2.25,+,0.022000359371304512,2.556795835494995,0.6073834300041199,0.45937323570251465
RAG7-178,-230,2.08,+,0.007349553983658552,0.45202794671058655,3.34354829788208,1.098907709121704
RAG7-846,-898,1.65,+,0.002151699271053076,0.004511932376772165,0.10810627043247223,0.19875094294548035
RAG7-707,-759,1.43,+,0.007706495467573404,0.014131943695247173,0.09446761012077332,0.476077139377594
